代號,名稱,年月日,報酬率％
1101,台泥,2022/03/01,0.9504
1101,台泥,2022/02/25,0.1057
1101,台泥,2022/02/24,-0.7345
1101,台泥,2022/02/23,-0.1048
1101,台泥,2022/02/22,0.2101
1101,台泥,2022/02/21,0.3161
1101,台泥,2022/02/18,0
1101,台泥,2022/02/17,0.9574
1101,台泥,2022/02/16,0
1101,台泥,2022/02/15,-0.3181
1101,台泥,2022/02/14,-0.8412
1101,台泥,2022/02/11,0
1101,台泥,2022/02/10,0.5285
1101,台泥,2022/02/09,0.7455
1101,台泥,2022/02/08,-0.3185
1101,台泥,2022/02/07,0.5336
1101,台泥,2022/01/26,0.1068
1101,台泥,2022/01/25,-0.7423
1101,台泥,2022/01/24,-0.5274
1101,台泥,2022/01/21,-0.2105
1101,台泥,2022/01/20,-0.2101
1101,台泥,2022/01/19,-0.3141
1101,台泥,2022/01/18,0.3151
1101,台泥,2022/01/17,0
1101,台泥,2022/01/14,-0.7299
1101,台泥,2022/01/13,0.9474
1101,台泥,2022/01/12,0
1101,台泥,2022/01/11,0.4228
1101,台泥,2022/01/10,-0.3161
1101,台泥,2022/01/07,-0.3151
1101,台泥,2022/01/06,0.9544
1101,台泥,2022/01/05,-0.3171
1101,台泥,2022/01/04,-0.3161
1101,台泥,2022/01/03,-1.1458
1101,台泥,2021/12/30,-0.3115
1101,台泥,2021/12/29,0
1101,台泥,2021/12/28,0.104
1101,台泥,2021/12/27,0.4175
1101,台泥,2021/12/24,0.4193
1101,台泥,2021/12/23,0.6329
1101,台泥,2021/12/22,0.3175
1101,台泥,2021/12/21,-0.3165
1101,台泥,2021/12/20,-0.1054
1101,台泥,2021/12/17,1.1727
1101,台泥,2021/12/16,-0.1065
1101,台泥,2021/12/15,-0.1064
1101,台泥,2021/12/14,-0.2123
1101,台泥,2021/12/13,-0.4228
1101,台泥,2021/12/10,-0.211
1101,台泥,2021/12/09,-0.6289
1101,台泥,2021/12/08,0.3155
1101,台泥,2021/12/07,0.5285
1101,台泥,2021/12/06,1.9397
1101,台泥,2021/12/03,0.216
1101,台泥,2021/12/02,-0.6438
1101,台泥,2021/12/01,1.3043
1101,台泥,2021/11/30,-1.0753
1101,台泥,2021/11/29,0
1101,台泥,2021/11/26,-1.3786
1101,台泥,2021/11/25,-0.6322
1101,台泥,2021/11/24,-0.7322
1101,台泥,2021/11/23,-0.2088
1101,台泥,2021/11/22,-0.8282
1101,台泥,2021/11/19,0
1101,台泥,2021/11/18,-0.5149
1101,台泥,2021/11/17,-0.2055
1101,台泥,2021/11/16,0.1029
1101,台泥,2021/11/15,-0.2053
1101,台泥,2021/11/12,-0.2049
1101,台泥,2021/11/11,0.2053
1101,台泥,2021/11/10,-0.2049
1101,台泥,2021/11/09,-0.3064
1101,台泥,2021/11/08,1.6615
1101,台泥,2021/11/05,0.104
1101,台泥,2021/11/04,-0.1038
1101,台泥,2021/11/03,0
1101,台泥,2021/11/02,-0.2073
1101,台泥,2021/11/01,0
1101,台泥,2021/10/29,-0.5155
1101,台泥,2021/10/28,0.3102
1101,台泥,2021/10/27,-0.2064
1101,台泥,2021/10/26,0.4145
1101,台泥,2021/10/25,-1.127
1101,台泥,2021/10/22,0.1026
1101,台泥,2021/10/21,0.8273
1101,台泥,2021/10/20,-1.5275
1101,台泥,2021/10/19,-1.4056
1101,台泥,2021/10/18,-0.5988
1101,台泥,2021/10/15,0.4008
1101,台泥,2021/10/14,-1.1881
1101,台泥,2021/10/13,0.5976
1101,台泥,2021/10/12,-0.3968
1101,台泥,2021/10/08,0
1101,台泥,2021/10/07,1.002
1101,台泥,2021/10/06,-0.7952
1101,台泥,2021/10/05,0.6
1101,台泥,2021/10/04,-0.3984
1101,台泥,2021/10/01,-1.5686
1101,台泥,2021/09/30,0.7905
1101,台泥,2021/09/29,-0.7843
1101,台泥,2021/09/28,-0.1957
1101,台泥,2021/09/27,-0.3899
1101,台泥,2021/09/24,0.1953
1101,台泥,2021/09/23,0.9862
1101,台泥,2021/09/22,0
1101,台泥,2021/09/17,-1.9342
1101,台泥,2021/09/16,0.9766
1101,台泥,2021/09/15,-0.3891
1101,台泥,2021/09/14,2.5948
1101,台泥,2021/09/13,2.2449
1101,台泥,2021/09/10,1.6598
1101,台泥,2021/09/09,-0.7209
1101,台泥,2021/09/08,-0.4103
1101,台泥,2021/09/07,-0.1025
1101,台泥,2021/09/06,0.6186
1101,台泥,2021/09/03,1.2526
1101,台泥,2021/09/02,-1.0331
1101,台泥,2021/09/01,-0.1032
1101,台泥,2021/08/31,1.7857
1101,台泥,2021/08/30,0.3161
1101,台泥,2021/08/27,1.065
1101,台泥,2021/08/26,-0.5297
1101,台泥,2021/08/25,0.9626
1101,台泥,2021/08/24,-0.1068
1101,台泥,2021/08/23,1.4085
1101,台泥,2021/08/20,-0.1082
1101,台泥,2021/08/19,-2.2222
1101,台泥,2021/08/18,-0.1057
1101,台泥,2021/08/17,-1.3556
1101,台泥,2021/08/16,-0.9298
1101,台泥,2021/08/13,1.6807
1101,台泥,2021/08/12,-0.2581
1101,台泥,2021/08/11,-1.5414
1101,台泥,2021/08/10,-0.9542
1101,台泥,2021/08/09,-0.9452
1101,台泥,2021/08/06,0.3795
1101,台泥,2021/08/05,-2.0446
1101,台泥,2021/08/04,-0.1855
1101,台泥,2021/08/03,2.0833
1101,台泥,2021/08/02,0.3802
1101,台泥,2021/07/30,-0.5671
1101,台泥,2021/07/29,0.9542
1101,台泥,2021/07/28,-1.1321
1101,台泥,2021/07/27,-0.3759
1101,台泥,2021/07/26,0.3774
1101,台泥,2021/07/23,1.7274
1101,台泥,2021/07/22,0.5792
1101,台泥,2021/07/21,0.1934
1101,台泥,2021/07/20,-0.5769
1101,台泥,2021/07/19,0.9709
1101,台泥,2021/07/16,-0.1938
1101,台泥,2021/07/15,0.1942
1101,台泥,2021/07/14,-0.7707
1101,台泥,2021/07/13,-0.5747
1101,台泥,2021/07/12,0.3846
1101,台泥,2021/07/09,-1.5152
1101,台泥,2021/07/08,2.924
1101,台泥,2021/07/07,0.1953
1101,台泥,2021/07/06,1.1858
1101,台泥,2021/07/05,0.198
1101,台泥,2021/07/02,-0.1976
1101,台泥,2021/07/01,-0.7843
1101,台泥,2021/06/30,-0.3906
1101,台泥,2021/06/29,0.1957
1101,台泥,2021/06/28,0.1961
1101,台泥,2021/06/25,-0.1957
1101,台泥,2021/06/24,0.1961
1101,台泥,2021/06/23,0.1965
1101,台泥,2021/06/22,0.3945
1101,台泥,2021/06/21,-0.5882
1101,台泥,2021/06/18,-0.9709
1101,台泥,2021/06/17,-0.7707
