Date,50_Portfolio_Daily_Return,TW50TR_Daily_Return,
2019/7/12,2019/7/12,-0.0025458,-0.002728
2019/7/15,2019/7/15,0.005483957,0.007379
2019/7/16,2019/7/16,0.0032607,0.003121
2019/7/17,2019/7/17,-0.006189042,-0.008274
2019/7/18,2019/7/18,0.000522499,-0.000385
2019/7/19,2019/7/19,0.00681439,0.008851
2019/7/22,2019/7/22,0.008337189,0.009315
2019/7/23,2019/7/23,-0.000527639,0.001061
2019/7/24,2019/7/24,-0.001505744,-0.000126
2019/7/25,2019/7/25,0.000567251,0.00345
2019/7/26,2019/7/26,-0.006976983,-0.007911
2019/7/29,2019/7/29,0.00109298,-0.000242
2019/7/30,2019/7/30,-0.003464993,-0.002306
2019/7/31,2019/7/31,-0.00094304,-0.000682
2019/8/1,2019/8/1,-0.009762993,-0.009597
2019/8/2,2019/8/2,-0.014776123,-0.017513
2019/8/5,2019/8/5,-0.010108978,-0.012494
2019/8/6,2019/8/6,-0.000164931,-0.000468
2019/8/7,2019/8/7,-0.001306547,-0.001183
2019/8/8,2019/8/8,0.012331759,0.01118
2019/8/12,2019/8/12,-0.007211008,-0.002965
2019/8/13,2019/8/13,-0.013692417,-0.011958
2019/8/14,2019/8/14,0.005801473,0.007812
2019/8/15,2019/8/15,-0.00843568,-0.008672
2019/8/16,2019/8/16,0.010981582,0.009276
2019/8/19,2019/8/19,0.008136487,0.007604
2019/8/20,2019/8/20,0.006307205,0.005715
2019/8/21,2019/8/21,-0.003447415,-0.001616
2019/8/22,2019/8/22,-0.000994957,-0.000305
2019/8/23,2019/8/23,0.001204136,0.001531
2019/8/26,2019/8/26,-0.015540165,-0.016939
2019/8/27,2019/8/27,0.00184013,0.00256
2019/8/28,2019/8/28,0.005845065,0.006639
2019/8/29,2019/8/29,0.00383399,0.003491
2019/8/30,2019/8/30,0.016562462,0.018384
2019/9/2,2019/9/2,-0.002750859,-0.002004
2019/9/3,2019/9/3,-0.008384179,-0.009243
2019/9/4,2019/9/4,0.007308984,0.01019
2019/9/5,2019/9/5,0.012703837,0.01315
2019/9/6,2019/9/6,0.004799733,0.003095
2019/9/9,2019/9/9,0.007018135,0.004604
2019/9/10,2019/9/10,-0.004258329,-0.006039
2019/9/11,2019/9/11,0.002302726,0.0042
2019/9/12,2019/9/12,0.000398223,0.001957
2019/9/16,2019/9/16,0.008938583,0.008346
2019/9/17,2019/9/17,-0.006005499,-0.002851
2019/9/18,2019/9/18,0.004553385,0.005788
2019/9/19,2019/9/19,-0.002089486,-0.001438
2019/9/20,2019/9/20,0.001149329,0.002048
2019/9/23,2019/9/23,-0.002846312,-0.00266
2019/9/24,2019/9/24,-0.000660164,0.000342
2019/9/25,2019/9/25,-0.004433892,-0.002891
2019/9/26,2019/9/26,0.001839554,0.002264
2019/9/27,2019/9/27,2.16E-05,0.001448
2019/10/1,2019/10/1,0.013774539,0.016473
2019/10/2,2019/10/2,-0.003304853,-0.003409
2019/10/3,2019/10/3,-0.00809413,-0.00859
2019/10/4,2019/10/4,0.00299657,0.002175
2019/10/7,2019/10/7,0.001324561,0.004361
2019/10/8,2019/10/8,0.011764796,0.013778
2019/10/9,2019/10/9,-0.01351708,-0.013656
2019/10/14,2019/10/14,0.018239823,0.019334
2019/10/15,2019/10/15,0.005631278,0.005755
2019/10/16,2019/10/16,0.0047669,0.005363
2019/10/17,2019/10/17,-0.000246295,0.000495
2019/10/18,2019/10/18,-0.001644183,-0.001282
2019/10/21,2019/10/21,-0.00155124,-0.001897
2019/10/22,2019/10/22,0.010863528,0.010829
2019/10/23,2019/10/23,-0.004360824,-0.003931
2019/10/24,2019/10/24,0.006954664,0.006127
2019/10/25,2019/10/25,-0.000807599,-0.00146
2019/10/28,2019/10/28,0.00341818,0.002232
2019/10/29,2019/10/29,0.005344863,0.006107
2019/10/30,2019/10/30,0.004210579,0.003277
2019/10/31,2019/10/31,0.0020314,-0.000656
2019/11/1,2019/11/1,0.002592365,0.004543
2019/11/4,2019/11/4,0.01895962,0.019718
2019/11/5,2019/11/5,0.012122246,0.009367
2019/11/6,2019/11/6,0.005216282,0.003014
2019/11/7,2019/11/7,-0.004755349,-0.004054
2019/11/8,2019/11/8,-0.008215574,-0.004739
2019/11/11,2019/11/11,-0.010339908,-0.014037
2019/11/12,2019/11/12,0.010539991,0.009107
2019/11/13,2019/11/13,-0.007660668,-0.004901
2019/11/14,2019/11/14,-0.002514764,-0.000725
2019/11/15,2019/11/15,0.008323926,0.0085
2019/11/18,2019/11/18,0.008623613,0.008197
2019/11/19,2019/11/19,0.007654138,0.007649
2019/11/20,2019/11/20,-0.003802702,-0.00359
2019/11/21,2019/11/21,-0.008713223,-0.007948
2019/11/22,2019/11/22,-0.000418117,-0.00091
2019/11/25,2019/11/25,-0.001516588,-0.002284
2019/11/26,2019/11/26,0.000653777,-8.70E-05
2019/11/27,2019/11/27,0.007953185,0.008203
2019/11/28,2019/11/28,-0.001884053,-0.003155
2019/11/29,2019/11/29,-0.013313764,-0.012955
2019/12/2,2019/12/2,0.003641088,0.003973
2019/12/3,2019/12/3,-0.000519749,0.002113
2019/12/4,2019/12/4,-0.002024784,-0.002159
2019/12/5,2019/12/5,0.007924065,0.00946
2019/12/6,2019/12/6,0.001457901,0.001919
2019/12/9,2019/12/9,0.007771625,0.006161
2019/12/10,2019/12/10,-0.004981162,-0.005003
2019/12/11,2019/12/11,0.009105799,0.009354
2019/12/12,2019/12/12,0.018277506,0.018352
2019/12/13,2019/12/13,0.015091632,0.012895
2019/12/16,2019/12/16,-0.003417652,-0.003233
2019/12/17,2019/12/17,0.018544411,0.017446
2019/12/18,2019/12/18,0.001927716,0.001813
2019/12/19,2019/12/19,-0.009249773,-0.009797
2019/12/20,2019/12/20,-0.008598212,-0.007579
2019/12/23,2019/12/23,0.009444892,0.007979
2019/12/24,2019/12/24,-0.00639148,-0.005346
2019/12/25,2019/12/25,0.00154718,0.001992
2019/12/26,2019/12/26,-0.000207643,-0.000421
2019/12/27,2019/12/27,0.009106092,0.009204
2019/12/30,2019/12/30,-0.005466931,-0.005589
2019/12/31,2019/12/31,-0.008081138,-0.007384
2020/1/2,2020/1/2,0.009209027,0.010138
2020/1/3,2020/1/3,-6.42E-05,0.002615
2020/1/6,2020/1/6,-0.016564576,-0.015973
2020/1/7,2020/1/7,-0.00220286,-0.005567
2020/1/8,2020/1/8,-0.002627616,-0.005216
2020/1/9,2020/1/9,0.016232813,0.015238
2020/1/10,2020/1/10,0.004914987,0.004999
2020/1/13,2020/1/13,0.006243681,0.006194
2020/1/14,2020/1/14,0.00557159,0.00742
2020/1/15,2020/1/15,-0.009031249,-0.009756
2020/1/16,2020/1/16,-0.005784976,-0.005428
2020/1/17,2020/1/17,0.003030282,0.001364
2020/1/20,2020/1/20,0.002173924,0.001478
2020/1/30,2020/1/30,-0.055970344,-0.055677
2020/1/31,2020/1/31,0.00724633,0.00796
2020/2/3,2020/2/3,-0.01204518,-0.011158
2020/2/4,2020/2/4,0.019676798,0.020171
2020/2/5,2020/2/5,0.004014989,0.003428
2020/2/6,2020/2/6,0.013124439,0.014014
2020/2/7,2020/2/7,-0.010356868,-0.010614
2020/2/10,2020/2/10,-0.002755639,-0.001717
2020/2/11,2020/2/11,0.006092218,0.007693
2020/2/12,2020/2/12,0.008208882,0.00935
2020/2/13,2020/2/13,0.005295281,0.002228
2020/2/14,2020/2/14,-0.001555888,0.000618
2020/2/17,2020/2/17,-0.005162711,-0.005518
2020/2/18,2020/2/18,-0.014810894,-0.014479
2020/2/19,2020/2/19,0.0113832,0.010409
2020/2/20,2020/2/20,-0.004503293,-0.004185
2020/2/21,2020/2/21,-0.004218326,-0.002939
2020/2/24,2020/2/24,-0.016903939,-0.014285
2020/2/25,2020/2/25,0.002728345,0.002359
2020/2/26,2020/2/26,-0.007436057,-0.010449
2020/2/27,2020/2/27,-0.006214787,-0.009351
2020/3/2,2020/3/2,-0.015440717,-0.013678
2020/3/3,2020/3/3,0.01669478,0.015679
2020/3/4,2020/3/4,0.009120479,0.007637
2020/3/5,2020/3/5,0.010527375,0.010061
2020/3/6,2020/3/6,-0.022206988,-0.020643
2020/3/9,2020/3/9,-0.029731773,-0.02846
2020/3/10,2020/3/10,0.002439829,0.002562
2020/3/11,2020/3/11,-0.009971159,-0.010643
2020/3/12,2020/3/12,-0.03806345,-0.037825
2020/3/13,2020/3/13,-0.014803218,-0.018921
2020/3/16,2020/3/16,-0.045498986,-0.042942
2020/3/17,2020/3/17,-0.032541973,-0.028206
2020/3/18,2020/3/18,-0.02884969,-0.026287
2020/3/19,2020/3/19,-0.056265718,-0.049701
2020/3/20,2020/3/20,0.079104994,0.0719
2020/3/23,2020/3/23,-0.0435701,-0.043155
2020/3/24,2020/3/24,0.046624296,0.045332
2020/3/25,2020/3/25,0.037513587,0.036203
2020/3/26,2020/3/26,0.008334695,0.007348
2020/3/27,2020/3/27,-0.0073366,-0.008607
2020/3/30,2020/3/30,-0.011668247,-0.012034
2020/3/31,2020/3/31,0.009171823,0.009054
2020/4/1,2020/4/1,-0.008540541,-0.007663
2020/4/6,2020/4/6,0.013610802,0.015797
2020/4/7,2020/4/7,0.016946164,0.018512
2020/4/8,2020/4/8,0.009495032,0.012289
2020/4/9,2020/4/9,-0.001172912,-0.003021
2020/4/10,2020/4/10,0.002580194,0.000925
2020/4/13,2020/4/13,-0.008076526,-0.00563
2020/4/14,2020/4/14,0.026356775,0.023836
2020/4/15,2020/4/15,0.011061408,0.009518
2020/4/16,2020/4/16,-0.009999734,-0.00826
2020/4/17,2020/4/17,0.034585546,0.033812
2020/4/20,2020/4/20,-0.00477754,-0.004418
2020/4/21,2020/4/21,-0.030791687,-0.02955
2020/4/22,2020/4/22,-0.003839361,-0.001331
2020/4/23,2020/4/23,0.003107471,0.005116
2020/4/24,2020/4/24,-0.003903228,-0.003287
2020/4/27,2020/4/27,0.019416508,0.020687
2020/4/28,2020/4/28,0.003232576,0.001713
2020/4/29,2020/4/29,0.018185879,0.014
2020/4/30,2020/4/30,0.020251715,0.021014
2020/5/4,2020/5/4,-0.032929059,-0.028954
2020/5/5,2020/5/5,0.002313363,0.00497
2020/5/6,2020/5/6,-0.000874241,9.70E-05
2020/5/7,2020/5/7,0.005308644,0.003962
2020/5/8,2020/5/8,0.005574018,0.005703
2020/5/11,2020/5/11,0.011618133,0.010919
2020/5/12,2020/5/12,-0.014097071,-0.014928
2020/5/13,2020/5/13,0.007669473,0.006692
