code,年月,當季季底P/E,當季季底P/B,ROE(B)－常續利益,季底普通股市值,季別
1733,Jun-05,14.73,2.4,5.51,1844438,2
1734,Jun-05,13.02,1.47,6.22,1787306,2
1735,Jun-05,16.24,1.26,0.21,1246590,2
1736,Jun-05,14.11,4.21,15.57,11235000,2
1737,Jun-05,13.26,1.2,2.84,8436689,2
1752,Jun-05,10.83,1.8,8.32,1001722,2
1760,Jun-05, ,1.37,-12.49,445884,2
1762,Jun-05, , ,-11.94, ,2
1773,Jun-05, , ,11.88, ,2
1776,Jun-05,34.91,0.88,-0.36,546840,2
1783,Jun-05, , ,-13.48, ,2
1786,Jun-05, , ,-19.57, ,2
1795,Jun-05,20.43,2.13,4.38,700920,2
1802,Jun-05,11.6,1.43,5.88,43016054,2
1805,Jun-05, ,2.48,-6.77,297500,2
1806,Jun-05,11.58,0.67,3.38,2061000,2
1808,Jun-05,7.54,1.06,8.6,654000,2
1809,Jun-05,9.09,0.54,3.49,1107047,2
1810,Jun-05, ,0.56,-0.15,3435374,2
1903,Jun-05, ,1.52,-7.18,7099065,2
1904,Jun-05,19.49,0.7,0.4,10707142,2
1905,Jun-05,13.58,0.8,2.3,6762372,2
1906,Jun-05, ,0.47,0.13,596450,2
1907,Jun-05,10.47,0.99,3.39,17982835,2
1909,Jun-05,9.74,0.68,2.64,4138328,2
2002,Jun-05,5.19,1.78,18.19,316492768,2
2006,Jun-05,5.03,1.15,10.1,15302235,2
2007,Jun-05, ,0.63,-2.24,2440679,2
2008,Jun-05,9.07,1.06,3.91,4153495,2
2009,Jun-05,12.74,0.95,3.64,3794012,2
2010,Jun-05,4.96,0.99,9.83,8164874,2
2012,Jun-05,6.71,0.83,6.22,2633132,2
2013,Jun-05,11.86,0.91,3.45,2323289,2
2014,Jun-05,6.15,1.26,9.78,17682301,2
2015,Jun-05,5.3,1.63,13.03,17031610,2
2017,Jun-05,7.39,0.7,0.71,3191622,2
2020,Jun-05,10.05,1.35,2.53,3204348,2
2022,Jun-05,5.16,0.8,4.41,3699215,2
2023,Jun-05,9.01,0.88,2.83,19857866,2
2024,Jun-05,22.08,0.66,-1.69,649381,2
2025,Jun-05,13.24,0.77,-1.44,2382515,2
2027,Jun-05,6,1.21,9.94,5197017,2
2028,Jun-05,14.59,0.83,-0.23,1491950,2
2029,Jun-05,6.35,1.54,8.73,11193123,2
2030,Jun-05,5.4,1.09,12.61,3148527,2
2031,Jun-05,6.5,1.55,6.5,5783446,2
2032,Jun-05,15.25,1.26,-0.25,1555471,2
2033,Jun-05,14.11,0.96,3.23,811498,2
2034,Jun-05,8.45,1.46,6.11,3806360,2
2038,Jun-05, , ,4.84, ,2
2049,Jun-05, , ,13.07, ,2
2059,Jun-05,21.1,7.83,20.06,8488440,2
2062,Jun-05, , ,13.32, ,2
2101,Jun-05,7.61,1.54,13.09,8789634,2
2102,Jun-05,10.51,0.87,4.06,5062302,2
2103,Jun-05,5.82,1.29,10.51,10361687,2
2104,Jun-05,7.89,0.7,4.6,4981661,2
2105,Jun-05,20.57,2.1,2.82,37289995,2
2106,Jun-05,23.82,1.56,1.21,8593200,2
2107,Jun-05,81.1,1,1.09,6425615,2
2108,Jun-05,13.23,0.95,4.96,2892573,2
2109,Jun-05,126.04,0.78,-1.42,2908644,2
2114,Jun-05,0,0,14.15,0,2
2201,Jun-05,8.01,1.05,5.92,50939294,2
2204,Jun-05,8.87,1.08,5.15,44031727,2
2206,Jun-05,8.19,0.91,4.89,10791958,2
2207,Jun-05,9.52,2.65,15.19,41236515,2
2227,Jun-05,9.77,2.82,15.27,33000000,2
2228,Jun-05, , ,7.53, ,2
2301,Jun-05,11.97,2.01,7.22,91442042,2
2302,Jun-05, ,0.37,0.12,1151699,2
2303,Jun-05,103.3,1.58,-2.06,408926913,2
2305,Jun-05, ,0.59,-46.37,1127017,2
2308,Jun-05,13.82,2.46,7.68,87414061,2
2312,Jun-05,13.07,1.24,1.51,19680990,2
2313,Jun-05, ,1.19,-1.49,13679578,2
2314,Jun-05,31.57,1.18,-0.06,5493082,2
2316,Jun-05,41.39,0.85,-1.38,5802656,2
2317,Jun-05,16.72,3.85,12.5,536706583,2
2321,Jun-05,16.4,1.13,3.8,4534298,2
2323,Jun-05,56.7,0.9,0.17,47443649,2
2324,Jun-05,12.87,1.84,7.33,105537992,2
2327,Jun-05,29.82,1.21,-0.03,27980815,2
2328,Jun-05,22.04,2.75,6.07,17414400,2
2329,Jun-05, ,0.72,-13.26,3317599,2
2330,Jun-05,17.08,3.55,8.65,1362409653,2
2331,Jun-05, ,1.19,0.69,15239515,2
2332,Jun-05,13.14,1.86,4.55,20466212,2
2337,Jun-05, ,1.01,-14.44,29506835,2
2338,Jun-05,7.91,1.22,6.96,5483739,2
2340,Jun-05, ,1.28,-4.85,6996928,2
2342,Jun-05,10.29,0.98,-2.94,12833650,2
2344,Jun-05, ,0.83,-4.16,48198893,2
2345,Jun-05, ,1.68,-6.12,9967174,2
2347,Jun-05,14.82,1.91,6.76,38170800,2
2348,Jun-05, ,1.92,-35.79,530265,2
2349,Jun-05, ,0.55,-2.35,27450504,2
2351,Jun-05,8.52,0.97,3.07,2221542,2
2352,Jun-05,27.71,1.65,-2.24,75733339,2
2353,Jun-05,42.28,2.18,3.12,130835438,2
2354,Jun-05,25.5,5.5,12.7,60526750,2
2355,Jun-05,11.5,0.94,3.11,6063266,2
2356,Jun-05,15.38,1.16,3.25,31627600,2
2357,Jun-05,14.08,2.41,9.99,228230512,2
2358,Jun-05,26.55,1.27,1.29,646750,2
2359,Jun-05, ,0.72,0.6,2283431,2
2360,Jun-05,11.1,1.85,8.14,7654483,2
2362,Jun-05,68.36,1.07,-1.39,6276886,2
2363,Jun-05, ,1.27,2.09,21762356,2
2364,Jun-05, ,0.7,-8.18,1677544,2
2365,Jun-05,8.57,1.34,7.7,5195572,2
2367,Jun-05,27.9,0.8,-0.06,4148041,2
2368,Jun-05,9.79,1.11,6.03,6980440,2
2369,Jun-05,30.33,0.9,-2.3,3754075,2
2371,Jun-05, ,0.91,-11.21,41771513,2
2373,Jun-05,18.34,1.6,6.43,6551236,2
2374,Jun-05,18,1.51,6.3,5453621,2
2375,Jun-05,41.74,0.59,0.54,1623889,2
2376,Jun-05,18.19,1.32,2.77,23231735,2
2377,Jun-05,26.65,0.96,2.39,18457014,2
2379,Jun-05,21.54,1.53,2.65,24913832,2
2380,Jun-05,11.13,1.15,5.05,4317339,2
2382,Jun-05,55.03,3.01,-3.01,184341625,2
2383,Jun-05,13.05,0.85,-0.47,1570796,2
2385,Jun-05,21.81,3.12,-0.49,12250800,2
2387,Jun-05,11.24,2.71,11.26,8022172,2
2388,Jun-05, ,1.91,-8.99,28267656,2
2390,Jun-05, ,0.67,0.02,2162669,2
2392,Jun-05,19.01,2.96,7.56,23935393,2
2393,Jun-05,12.08,2.19,7.64,11849651,2
2395,Jun-05,13.88,3.8,11.97,28107525,2
2397,Jun-05,13.46,0.95,4.64,2305800,2
2399,Jun-05, ,0.98,3.26,1167370,2
2401,Jun-05,20.86,2.76,3.56,39217092,2
2402,Jun-05,20.65,1.86,-1.42,9457795,2
2404,Jun-05,8.11,1.9,11.52,7350548,2
2405,Jun-05,24.66,1.28,1.58,3508770,2
2406,Jun-05, ,0.71,-8.14,2740360,2
2408,Jun-05,25.59,1.62,0.07,89336210,2
2409,Jun-05,21.5,2.15,-1.4,262280316,2
2412,Jun-05,12.55,1.61,6.56,619383881,2
2413,Jun-05, ,0.62,-0.76,1534797,2
2414,Jun-05,9.58,1,6.4,2165448,2
2415,Jun-05,19.85,0.74,0.53,801425,2
2417,Jun-05,11.9,2.02,6.83,4160690,2
2419,Jun-05, ,0.7,-4.09,1166764,2
2420,Jun-05,8.95,1.29,7.62,2083891,2
2421,Jun-05,30.1,1.1,0.96,2665600,2
2423,Jun-05,10.31,1.39,4.65,1525090,2
