證券代碼	年	序號	事件日
U4DST 下市	2023    	000311	20110406
U4DST 下市	2023    	000312	20110831
U4DST 下市	2023    	000313	19960115
U4DST 下市	2023    	000314	19970902
U4DST 下市	2023    	000315	19980325
U4DST 下市	2023    	000316	19960311
U4DST 下市	2023    	000317	19990412
U4DST 下市	2023    	000318	20020219
U4DST 下市	2023    	000319	20001027
U4DST 下市	2023    	000320	20001221
U4DST 下市	2023    	000321	20010619
U4DST 下市	2023    	000322	20020108
U4DST 下市	2023    	000323	20140725
U4DST 下市	2023    	000324	20131203
U4DST 下市	2023    	000325	20131127
U4DST 下市	2023    	000326	20130125
U4DST 下市	2023    	000327	20140114
U4DST 下市	2023    	000328	20131108
U4DST 下市	2023    	000329	20160330
U4DST 下市	2023    	000330	19910716
U4DST 下市	2023    	000331	19951209
U4DST 下市	2023    	000332	20040719
U4DST 下市	2023    	000333	19960209
U4DST 下市	2023    	000334	20040218
U4DST 下市	2023    	000335	19960810
U4DST 下市	2023    	000336	19961202
U4DST 下市	2023    	000337	19961209
U4DST 下市	2023    	000338	19970224
U4DST 下市	2023    	000339	19970310
U4DST 下市	2023    	000340	19971030
U4DST 下市	2023    	000341	19971113
U4DST 下市	2023    	000342	19971206
U4DST 下市	2023    	000343	19980325
U4DST 下市	2023    	000344	19980323
U4DST 下市	2023    	000345	19980625
U4DST 下市	2023    	000346	19990120
U4DST 下市	2023    	000347	19990303
U4DST 下市	2023    	000348	19990503
U4DST 下市	2023    	000349	19990416
U4DST 下市	2023    	000350	19990414
U4DST 下市	2023    	000351	19990513
U4DST 下市	2023    	000352	19990907
U4DST 下市	2023    	000353	19991015
U4DST 下市	2023    	000354	19991126
U4DST 下市	2023    	000355	20000605
U4DST 下市	2023    	000356	20000725
U4DST 下市	2023    	000357	20000630
U4DST 下市	2023    	000358	20000815
U4DST 下市	2023    	000359	20001031
U4DST 下市	2023    	000360	20001116
U4DST 下市	2023    	000361	20010116
U4DST 下市	2023    	000362	20010410
U4DST 下市	2023    	000363	20010321
U4DST 下市	2023    	000364	20010315
U4DST 下市	2023    	000365	20010413
U4DST 下市	2023    	000366	20010507
U4DST 下市	2023    	000367	19951229
U4DST 下市	2023    	000368	19970201
U4DST 下市	2023    	000369	19970217
U4DST 下市	2023    	000370	19970924
U4DST 下市	2023    	000371	19980115
U4DST 下市	2023    	000372	19980116
U4DST 下市	2023    	000373	19981229
U4DST 下市	2023    	000374	19990707
U4DST 下市	2023    	000375	20000506
U4DST 下市	2023    	000376	20000714
U4DST 下市	2023    	000377	19950816
U4DST 下市	2023    	000378	20010622
U4DST 下市	2023    	000379	19960105
U4DST 下市	2023    	000380	19971219
U4DST 下市	2023    	000381	19981223
U4DST 下市	2023    	000382	19891220
U4DST 下市	2023    	000383	19951101
U4DST 下市	2023    	000384	19981221
U4DST 下市	2023    	000385	20000908
U4DST 下市	2023    	000386	20020205
U4DST 下市	2023    	000387	19931028
U4DST 下市	2023    	000388	19931201
U4DST 下市	2023    	000389	19941125
U4DST 下市	2023    	000390	19940124
U4DST 下市	2023    	000391	19961129
U4DST 下市	2023    	000392	19970723
U4DST 下市	2023    	000393	19620209
U4DST 下市	2023    	000394	19620209
U4DST 下市	2023    	000395	19861004
U4DST 下市	2023    	000396	19911223
U4DST 下市	2023    	000397	19900626
U4DST 下市	2023    	000398	19790224
U4DST 下市	2023    	000399	19620209
U4DST 下市	2023    	000400	19630301
U4DST 下市	2023    	000401	19950911
U4DST 下市	2023    	000402	19980819
U4DST 下市	2023    	000403	19950906
U4DST 下市	2023    	000404	19981020
U4DST 下市	2023    	000405	19960118
U4DST 下市	2023    	000406	19980629
U4DST 下市	2023    	000407	19961212
U4DST 下市	2023    	000408	19951012
U4DST 下市	2023    	000409	19981017
U4DST 下市	2023    	000410	20041117
U4DST 下市	2023    	000411	19970224
U4DST 下市	2023    	000412	19941223
U4DST 下市	2023    	000413	19950410
U4DST 下市	2023    	000414	19950808
U4DST 下市	2023    	000415	20040719
U4DST 下市	2023    	000416	19951219
U4DST 下市	2023    	000417	19960131
U4DST 下市	2023    	000418	19960402
U4DST 下市	2023    	000419	20030825
U4DST 下市	2023    	000420	19960406
U4DST 下市	2023    	000421	19971108
U4DST 下市	2023    	000422	19990503
U4DST 下市	2023    	000423	20050926
U4DST 下市	2023    	000424	20010419
U4DST 下市	2023    	000425	20010613
U4DST 下市	2023    	000426	20010724
U4DST 下市	2023    	000427	20011022
U4DST 下市	2023    	000428	20030804
U4DST 下市	2023    	000429	20011228
U4DST 下市	2023    	000430	20040927
